Pressure,Resistance,Fluctuation
0.15,7402.016251462577,256.3558810797112
0.3497959183673469,4317.821148792434,9.359405581403935
0.5495918367346938,3643.754994746367,27.724916957352637
0.7493877551020408,3193.8951963873965,100.5062418542363
0.9491836734693878,2947.970844633502,61.65969581829478
1.1489795918367345,2746.707503379262,39.34809267332899
1.3487755102040815,2607.0433204120445,14.535616899988844
1.5485714285714283,2496.7257689416397,10.022886373694067
1.7483673469387753,2394.4730666575647,4.963100269194544
1.9481632653061223,2316.834152968658,18.44054505731858
2.147959183673469,2256.2448378289823,20.057335393749376
2.347755102040816,2201.000145293431,29.416835693075793
2.547551020408163,2153.462997212042,28.120519757083223
2.7473469387755096,2104.768185856519,25.5908216081138
2.947142857142856,2060.1523452293695,27.177469467023517
3.1469387755102036,2024.2001425733224,28.348999704342347
3.3467346938775506,1990.1744013129103,22.64418178714808
3.5465306122448976,1960.9478583362989,19.241585085234437
3.746326530612245,1933.577865983769,17.04520736980991
3.9461224489795916,1908.6236277941416,16.100300748651343
4.145918367346939,1885.6273247774418,14.972417990655384
4.345714285714286,1863.6590551680958,13.537200620965256
4.545510204081633,1844.1854929288809,13.996419095147088
4.745306122448979,1826.1492643535923,14.04989979156913
4.945102040816327,1810.538240193373,14.213298247060207
5.144897959183673,1795.5909741477396,13.74561005490893
5.344693877551021,1782.0715817163282,11.401531365232355
5.544489795918367,1767.9679215553588,8.989661199060901
5.744285714285714,1755.0965345535944,6.248315289726957
5.944081632653062,1744.2760660138374,4.935793954062364
6.143877551020407,1733.6549337092501,4.405882938645113
6.343673469387755,1722.2339129438622,4.573597080461693
6.543469387755102,1710.3460009007201,4.453624702461381
6.743265306122448,1698.0853935667944,5.242812420837941
6.943061224489796,1684.5742928341454,6.348107054922908
7.142857142857142,1671.1924036441796,7.624569590140261
7.34265306122449,1658.6861799912322,7.914497519373437
7.542448979591836,1647.0611640064642,7.718292865057354
7.742244897959183,1636.6669011037932,8.333799332677922
7.9420408163265295,1627.7119540311894,8.508871755166437
8.141836734693877,1619.690752164479,7.5669394778951595
8.341632653061223,1611.907914442461,6.82583656746345
8.541428571428572,1604.8495010907818,6.943338499196113
8.741224489795918,1598.3082348922537,7.174289835718264
8.941020408163265,1591.7669686937254,7.766752818709429
9.140816326530611,1585.600078750332,8.234945658168256
9.340612244897958,1579.8007444420407,8.404980360342739
9.540408163265306,1574.0014101337492,8.63171563899755
9.740204081632653,1568.2020758254578,8.910824318618674
9.94,1562.4027415171668,9.23756030302691
