Sensor,k,alpha,Mean Fluctuation
1,6604.327024750295,-0.2626287980009923,6.218894915441967
2,21439.357510507332,-0.64549539943775,27.07108429700118
4,5057.758142936288,-0.3265070537714806,6.06627547620932
5,4944.442598728788,-0.39145916241705064,35.455548441870306
7,5830.4490589339175,-0.30895532073660376,30.706516992655935
8,6570.0306336815065,-0.1892067306536705,12.270592918740352
9,4394.621918750153,-0.38828090035071916,15.933795883560853
12,8407.873018622535,-0.44216866078099193,101.51592774835129
13,41468.64352721478,-0.9181225972937329,97.81894807308387
14,10792.433718459424,-0.39941714234235254,111.49745617197078
15,12336.059882691105,-0.5779636633256043,26.633449864318003
16,11408.10177497177,-0.39352831169960517,10.25103487655355
17,10813.451023166797,-0.4927969976034316,29.328179954479204
20,10022.869249887435,-0.4830816379474464,30.916603460635802
21,10511.766100464381,-0.49912992724264255,37.50281881802955
22,11335.040196454827,-0.5931167400373007,142.04653754464863
23,16302.165613808196,-0.49174326001613855,118.58843228547849
24,149029.74234293215,-1.4870460497937104,157.8179096576112
25,19051.765734964356,-0.44731461052537363,441.29219102456045
26,6977.678023691064,-0.3512708473622455,227.8530612212353
27,17865.432552588627,-0.3387247624217117,458.8040192238464
29,8701.25580538572,-0.39416445868650585,111.7912834284744
30,7329.237780896307,-0.40912389377357017,31.69695015495735
31,8028.145374928448,-0.4225420128248882,47.14428594134637
32,8503.94659961877,-0.19780650248593262,32.2833242711322
33,12664.699058717171,-0.47767801316032005,34.39260798781725
35,5722.511902209419,-0.3628916517343432,23.602407601425302
